รายชื่อบริษัทและการติดต่อ,ลำดับ,รายการ,จำนวน,หน่วย,ราคาต่อหน่วย,ราคารวม
Owner: บริษัท ลูก้า แอสเซท จำกัด,,,,,,
Project: โครงการ LUKA II RESIDENCE EKAMAI,,,,,,
Location: 95 ซอย กำเนิดทรัพย์ 2 แขวง บางกะปิ เขต ห้วยขวาง กรุงเทพมหานคร 10310,,,,,,
,,Softscape (Show House),,,,
,,ชั้น 1,,,,
,,ไม้ยืนต้น,,,,
,,"ต้นหลิวลู่ลม สูง 4.5 เมตร ขนาดลำต้น 4\"",2""",ต้น,9500.00,19000.0,
,,รวมราคาไม้ยืนต้น,,,,19000.0
,,ไม้พุ่มและไม้คลุมดิน,,,,
,,หญ้ามาเลเซีย,35,ตร.ม.,45.0,1575.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,1575.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,ดินผสมปลูก,2,m³,612.5,1225.0
,,ทรายปูหญ้า,5,m³,556.5,2782.5
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,4007.5
,1.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้น 1),,,,24582.5
,,ชั้น 2,,,,
,,ไม้ยืนต้น,,,,
,,"ต้นซิลเวอร์โอ๊ค สูง 4 เมตร ขนาดลำต้น 4\"",2""",ต้น,3300.00,6600.0,
,,ต้นสนเกรลิเวีย สูง 3 เมตร,1,ต้น,7300.0,7300.0
,,รวมราคาไม้ยืนต้น,,,,13900.0
,,ไม้พุ่มและไม้คลุมดิน,,,,
,,ต้นไทรอินโด สูง 2 เมตร,21,ต้น,500.0,10500.0
,,"ต้นหลิวใบ ความสูง 0.20 เมตร ถุง 6\"",50""",ต้น,30.00,1500.0,
,,"ต้นเฟิร์นบอสตัน ความสูง 0.30 เมตร ถุง 6\"",36""",ต้น,30.00,1080.0,
,,"ต้นหนวดปลาหมึกแคระ ความสูง 0.40 เมตร ถุง 10\"",15""",ต้น,60.00,900.0,
,,"ต้นเดหลีใบมัน ความสูง 0.30 เมตร ถุง 10\"",20""",ต้น,70.00,1400.0,
,,ต้นกระดุมใบเงิน ความสูง 0.60 เมตร,6,ต้น,380.0,2280.0
,,"ต้นชาฮกเกี้ยนทรงกลม ถุง 15\"",5""",ต้น,380.00,1900.0,
,,"ต้นหงส์ฟู ความสูง 0.40 เมตร ถุง 10\"",15""",ต้น,70.00,1050.0,
,,"ต้นใบหัวใจด่าง ความสูง 0.40 เมตร ถุง 10\"",18""",ต้น,55.00,990.0,
,,"ต้นบีโกเนียดอกขาว ความสูง 0.20 เมตร ถุง 6\"",20""",ต้น,95.00,1900.0,
,,"ต้นโรสแมรี ความสูง 0.20 เมตร ถุง 6\"",40""",ต้น,75.00,3000.0,
,,"ต้นพยาไร้ใบ ความสูง 0.30 เมตร ถุง 10\"",20""",ต้น,65.00,1300.0,
,,ต้นอากาเว่ ความสูง 0.40 เมตร,4,ต้น,730.0,2920.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,30720.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,Geotextile,40,m²,70.0,2800.0
,,Drainage Cell,12,m²,400.0,4800.0
,,ดินผสมปลูก,12,m³,700.0,8400.0
,,กระถางทรงกลม,1,ใบ,2600.0,2600.0
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,18600.0
,2.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้น 2),,,,63220.0
,,ชั้นลอย,,,,
,,ไม้พุ่มและไม้คลุมดิน,,,,
,,ต้นไทรอินโด สูง 2 เมตร,5,ต้น,500.0,2500.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,2500.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,Geotextile,4,m²,70.0,280.0
,,Drainage Cell,1,m²,400.0,400.0
,,ดินผสมปลูก,1,m³,350.0,350.0
,,กระถางรางหมู,2,ใบ,530.0,1060.0
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,2090.0
,3.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้นลอย),,,,4590.0
,,ชั้น 3,,,,
,,ไม้ยืนต้น,,,,
,,"ต้นซิลเวอร์โค สูง 4 เมตร ขนาดลำต้น 4\"",1""",ต้น,3300.00,3300.0,
,,รวมราคาไม้ยืนต้น,,,,3300.0
,,ไม้พุ่มและไม้คลุมดิน,,,,
,,ต้นไทรอินโด สูง 2 เมตร,9,ต้น,500.0,4500.0
,,ต้นนีออนเขียว ความสูง 0.40 เมตร,30,ต้น,60.0,1800.0
,,ต้นหนวดปลาหมึก ความสูง 0.40 เมตร,20,ต้น,50.0,1000.0
,,"ต้นโรสแมรี ความสูง 0.20 เมตร ถุง 6\"",30""",ต้น,75.00,2250.0,
,,ต้นเดฟกระดุม ความสูง 0.40 เมตร,20,ต้น,70.0,1400.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,10950.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,Geotextile,16,m²,70.0,1120.0
,,Drainage Cell,4,m²,400.0,1600.0
,,ดินผสมปลูก,4,m³,700.0,2800.0
,,กระถางรางหมู,3,ใบ,530.0,1590.0
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,7110.0
,4.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้น 3),,,,21360.0
,,ชั้น 4,,,,
,,ไม้ยืนต้น,,,,
,,"ต้นพุดมาลัยฟอร์มลีลา สูง 2 เมตร ขนาดลำต้น 3\"",1""",ต้น,5900.00,5900.0,
,,รวมราคาไม้ยืนต้น,,,,5900.0
,,ไม้พุ่มและไม้คลุมดิน,,,,
,,ต้นไทรอินโด สูง 2 เมตร,6,ต้น,455.0,2730.0
,,ต้นอากาเว่ ความสูง 0.40 เมตร,4,ต้น,730.0,2920.0
,,"ต้นโรสแมรี ความสูง 0.20 เมตร ถุง 6\"",30""",ต้น,75.00,2250.0,
,,ต้นหลิวเลื่อย ความสูง 0.20 เมตร,40,ต้น,30.0,1200.0
,,ต้นกระดุมใบเงิน ความสูง 0.60 เมตร,2,ต้น,380.0,760.0
,,"ต้นหงส์ฟู ความสูง 0.40 เมตร ถุง 10\"",15""",ต้น,70.00,1050.0,
,,"ต้นปริกหางกระรอก ความสูง 0.30 เมตร ถุง 6\"",25""",ต้น,70.00,1750.0,
,,ต้นหนวดปลาหมึก ความสูง 0.40 เมตร,20,ต้น,50.0,1000.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,13660.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,Geotextile,20,m²,70.0,1400.0
,,Drainage Cell,4,m²,420.0,1680.0
,,ดินผสมปลูก,6,m³,700.0,4200.0
,,กระถางรางหมู,2,ใบ,530.0,1060.0
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,8340.0
,5.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้น 4),,,,27900.0
,,ราคารวม,,,,141652.5
,,Operating fee,,,,21247.88
,,ราคารวมไม่รวมภาษีมูลค่าเพิ่ม,,,,162900.38
,,ภาษีมูลค่าเพิ่ม 7%,,,,11403.03
,,ยอดรวมทั้งสิ้น,,,,174303.4
